Year,Country,Industry,AI_Tool,Adoption_Rate,Daily_Active_Users,Company_Size,Age_Group
2025,UK,IT,GitHub Copilot,49.29,4237,Large,46-55
2024,Australia,Healthcare,GitHub Copilot,35.46,11523,Medium,18-25
2026,India,Finance,Perplexity,45.96,89951,Small,36-45
2026,Australia,Healthcare,GitHub Copilot,36.27,34582,Small,46-55
2026,Canada,Manufacturing,Claude,61.56,44256,Medium,18-25
2026,UK,Education,ChatGPT,8.86,52583,Small,18-25
2026,UK,Education,ChatGPT,20.38,34854,Large,26-35
2026,USA,Manufacturing,ChatGPT,43.95,36412,Large,18-25
2023,India,Education,Claude,37.07,23463,Medium,56+
2025,Canada,Education,GitHub Copilot,40.25,17185,Large,18-25
2026,UK,Retail,Perplexity,77.34,56989,Medium,56+
2025,UK,Finance,Gemini,84.77,80051,Large,26-35
2025,Canada,Finance,GitHub Copilot,27.38,56514,Small,56+
2023,Australia,Healthcare,Claude,80.28,47152,Large,46-55
2026,Australia,Manufacturing,Claude,46.29,87034,Medium,18-25
2024,India,IT,ChatGPT,29.64,32791,Small,36-45
2023,USA,Healthcare,GitHub Copilot,93.69,72295,Medium,36-45
2024,UK,Healthcare,ChatGPT,79.23,86280,Small,56+
2025,USA,Healthcare,Gemini,94.48,54797,Small,26-35
2025,Australia,Healthcare,ChatGPT,20.14,3144,Large,56+
2023,Australia,Finance,Gemini,17.95,3983,Large,56+
2023,Germany,IT,Claude,50.3,31812,Small,56+
2024,India,Healthcare,ChatGPT,62.48,84960,Large,46-55
2026,Germany,Finance,ChatGPT,20.4,21645,Large,46-55
2024,Germany,Healthcare,Perplexity,82.44,18304,Medium,56+
2023,Germany,Education,Claude,52.88,23368,Large,26-35
2024,India,Healthcare,Perplexity,41.98,81398,Small,18-25
2023,India,Manufacturing,Gemini,59.18,94007,Large,36-45
2024,Canada,Manufacturing,Gemini,62.15,84483,Small,46-55
2023,USA,Healthcare,Claude,8.85,36239,Small,18-25
2023,USA,Retail,Gemini,94.99,75752,Medium,46-55
2023,Canada,Education,Claude,37.75,95761,Small,46-55
2026,Canada,IT,Gemini,10.54,97040,Small,46-55
2024,Australia,Healthcare,GitHub Copilot,81.71,28536,Medium,56+
2024,Germany,IT,ChatGPT,94.37,68424,Small,56+
2024,Canada,Education,GitHub Copilot,78.47,97785,Medium,46-55
2023,UK,Healthcare,Claude,81.67,4225,Small,46-55
2024,USA,Retail,Claude,61.33,69242,Large,36-45
2024,Canada,Finance,GitHub Copilot,88.01,41634,Medium,18-25
2023,UK,Retail,ChatGPT,8.22,98624,Medium,18-25
2025,UK,Retail,ChatGPT,74.01,86942,Small,26-35
2023,UK,Finance,Perplexity,65.36,43073,Medium,26-35
2024,Australia,Finance,Gemini,9.46,76469,Small,26-35
2023,Australia,Manufacturing,Perplexity,53.96,87633,Medium,56+
2025,UK,Finance,ChatGPT,51.36,33621,Medium,56+
2023,Australia,Healthcare,GitHub Copilot,67.24,95584,Large,36-45
2024,Germany,IT,Gemini,11.98,7588,Small,56+
2025,UK,Manufacturing,GitHub Copilot,77.48,40074,Large,26-35
2026,Germany,Manufacturing,Perplexity,17.55,42548,Medium,46-55
2024,Germany,IT,Claude,42.68,8038,Small,26-35
2025,UK,Manufacturing,GitHub Copilot,84.32,51213,Large,36-45
2025,USA,Finance,Perplexity,55.45,15870,Medium,46-55
2026,UK,Retail,Perplexity,39.16,52735,Large,56+
2023,UK,Education,Perplexity,9.34,72271,Medium,46-55
2023,Australia,Finance,Claude,65.5,74265,Medium,36-45
2024,UK,Retail,Claude,93.79,57922,Small,56+
2026,USA,Retail,Claude,87.06,50034,Small,18-25
2023,Australia,Manufacturing,Gemini,69.56,65626,Small,26-35
2026,India,Healthcare,Claude,14.48,97304,Medium,26-35
2023,India,Healthcare,Claude,26.55,21587,Large,36-45
2025,Germany,Manufacturing,Claude,21.82,53419,Small,36-45
2023,Germany,Manufacturing,GitHub Copilot,36.99,12969,Small,26-35
2026,USA,IT,Claude,26.2,74855,Small,46-55
2025,Canada,IT,Gemini,27.0,40897,Small,18-25
2025,India,Education,Perplexity,60.51,56398,Medium,18-25
2025,Germany,Education,GitHub Copilot,33.68,82309,Large,36-45
2026,India,Education,ChatGPT,65.94,82399,Medium,36-45
2024,USA,Education,Claude,90.31,45033,Medium,46-55
2024,USA,Retail,Perplexity,62.46,76679,Medium,36-45
2024,Canada,Retail,Perplexity,72.65,9670,Small,18-25
2026,Canada,IT,GitHub Copilot,72.64,6986,Large,26-35
2025,Australia,Healthcare,ChatGPT,34.76,67594,Medium,18-25
2024,USA,Manufacturing,Gemini,6.35,43187,Medium,46-55
2026,Germany,Healthcare,Perplexity,9.95,90277,Medium,26-35
2024,India,Finance,Perplexity,30.39,67819,Small,26-35
2023,UK,Retail,Perplexity,67.06,94706,Small,18-25
2024,Canada,Education,Perplexity,86.6,3874,Medium,26-35
2024,UK,Education,GitHub Copilot,91.29,29118,Small,26-35
2025,Germany,Finance,ChatGPT,7.33,85939,Large,36-45
2026,Canada,Healthcare,Perplexity,94.11,14372,Small,26-35
2025,UK,Education,Gemini,34.02,22686,Medium,46-55
2025,Germany,Healthcare,Gemini,80.87,33645,Large,26-35
2025,India,Manufacturing,Claude,21.23,2666,Small,36-45
2025,Germany,Finance,Perplexity,10.66,76589,Medium,56+
2025,Australia,Healthcare,Perplexity,39.05,65455,Large,56+
2024,Canada,Manufacturing,Perplexity,82.3,31796,Large,46-55
2025,USA,Healthcare,Perplexity,24.87,73040,Large,46-55
2025,India,Healthcare,Perplexity,18.86,98482,Small,26-35
2026,UK,Education,Gemini,86.88,67217,Large,26-35
2023,Canada,IT,ChatGPT,89.45,79702,Small,56+
2024,USA,Retail,ChatGPT,6.13,40835,Medium,56+
2024,Germany,Healthcare,Claude,70.47,73475,Small,18-25
2024,USA,Healthcare,Gemini,32.83,50737,Small,56+
2025,Canada,Healthcare,Perplexity,38.72,22229,Medium,56+
2025,Canada,IT,ChatGPT,47.22,30945,Small,46-55
2025,Australia,Manufacturing,GitHub Copilot,43.41,79549,Small,18-25
2026,Australia,Finance,GitHub Copilot,51.35,66600,Medium,18-25
2023,USA,Education,GitHub Copilot,57.41,10839,Large,26-35
2025,Germany,IT,Perplexity,46.9,58272,Medium,26-35
2023,USA,Manufacturing,Perplexity,68.14,2773,Large,18-25
2026,Canada,Healthcare,Claude,69.67,31271,Small,18-25
2024,Canada,Manufacturing,Claude,44.63,89279,Medium,26-35
2025,UK,IT,Claude,17.82,10724,Large,46-55
2023,Australia,IT,GitHub Copilot,62.66,66864,Small,46-55
2023,UK,IT,Perplexity,74.57,53030,Small,46-55
2025,India,Finance,GitHub Copilot,62.43,34708,Small,46-55
2024,Canada,Retail,Claude,57.92,49749,Large,26-35
2024,UK,Education,Perplexity,25.65,82556,Large,36-45
2024,USA,Finance,Gemini,63.06,19789,Large,56+
2026,Australia,Finance,ChatGPT,35.14,63603,Small,56+
2023,Australia,Retail,ChatGPT,87.76,72760,Large,56+
2023,Germany,Finance,Claude,63.83,42224,Medium,56+
2023,USA,IT,GitHub Copilot,30.04,96975,Large,26-35
2026,Germany,IT,Gemini,47.56,7687,Large,36-45
2023,UK,Manufacturing,Perplexity,81.19,3627,Small,26-35
2026,India,Healthcare,GitHub Copilot,35.19,33167,Medium,36-45
2024,USA,Finance,Claude,52.29,51638,Medium,26-35
2025,USA,Healthcare,GitHub Copilot,66.17,69599,Medium,18-25
2023,USA,Education,Claude,72.91,37555,Large,36-45
2023,Germany,IT,ChatGPT,20.65,20343,Small,56+
2024,UK,Manufacturing,ChatGPT,55.86,32793,Large,36-45
2025,USA,Education,GitHub Copilot,87.1,69331,Small,46-55
2026,USA,Manufacturing,Gemini,92.15,74748,Medium,36-45
2025,Australia,Retail,Perplexity,64.05,32159,Large,46-55
2024,India,IT,Claude,93.53,58967,Small,46-55
2024,Australia,Education,Perplexity,56.37,72878,Large,18-25
2025,Australia,Retail,ChatGPT,44.83,75577,Small,36-45
2026,India,Education,Gemini,54.64,55383,Medium,18-25
2026,UK,Manufacturing,Gemini,15.41,63953,Large,56+
2023,Australia,Retail,Perplexity,41.15,20101,Medium,36-45
2026,UK,Retail,ChatGPT,46.26,2800,Large,26-35
2025,Australia,IT,Perplexity,81.38,50257,Large,26-35
2024,Canada,Healthcare,GitHub Copilot,73.28,18185,Small,26-35
2023,India,Manufacturing,Gemini,59.13,63983,Small,46-55
2023,Australia,Manufacturing,Gemini,36.25,58247,Small,26-35
2024,Canada,Retail,GitHub Copilot,21.83,13439,Medium,56+
2026,Germany,Retail,ChatGPT,36.3,15934,Medium,36-45
2024,Canada,IT,Gemini,66.18,76720,Large,36-45
2026,USA,Healthcare,Claude,28.67,29643,Small,46-55
2024,Australia,Manufacturing,Claude,43.42,36030,Medium,46-55
2025,Canada,Finance,ChatGPT,39.81,41174,Large,46-55
2026,UK,Finance,GitHub Copilot,73.9,97538,Medium,56+
2025,Germany,Healthcare,Perplexity,84.54,60773,Large,36-45
2023,Australia,Education,ChatGPT,67.94,29144,Small,18-25
2024,USA,IT,Perplexity,35.74,78773,Large,46-55
2023,Canada,Healthcare,ChatGPT,43.99,35005,Large,26-35
2023,Germany,Finance,Claude,17.9,54104,Small,18-25
2023,Australia,Retail,GitHub Copilot,20.13,62861,Small,18-25
2023,Germany,Finance,Claude,19.79,71584,Large,46-55
2024,USA,Retail,GitHub Copilot,16.75,98203,Medium,26-35
2023,Canada,IT,Perplexity,21.16,96825,Small,46-55
2024,Germany,Retail,ChatGPT,23.24,97507,Large,46-55
2024,Germany,Healthcare,Gemini,15.07,83825,Small,26-35
2025,India,Retail,Gemini,62.62,88433,Small,18-25
2026,Germany,Education,GitHub Copilot,94.14,69205,Medium,18-25
2026,India,Healthcare,GitHub Copilot,84.13,26112,Small,26-35
2024,Canada,IT,Claude,9.1,63796,Large,18-25
2025,Australia,Healthcare,Gemini,43.08,78613,Large,56+
2024,Australia,Education,Claude,82.34,97685,Small,46-55
2024,Canada,IT,Perplexity,17.12,21794,Small,56+
2024,Canada,Finance,Gemini,81.29,44488,Medium,56+
2025,UK,Education,Perplexity,58.34,98860,Medium,56+
2026,Canada,IT,ChatGPT,88.82,82468,Medium,36-45
2025,Germany,Retail,Claude,83.84,32935,Large,36-45
2023,Australia,Healthcare,GitHub Copilot,65.93,67498,Medium,56+
2025,USA,IT,Gemini,64.2,18286,Large,46-55
2025,Australia,Healthcare,Claude,24.18,29645,Medium,56+
2025,India,Retail,GitHub Copilot,15.51,44491,Large,56+
2025,Australia,IT,ChatGPT,42.39,73955,Small,36-45
2026,UK,Finance,Gemini,21.79,45888,Large,56+
2023,Canada,Education,Perplexity,14.22,28501,Small,46-55
2026,Canada,IT,ChatGPT,32.21,97864,Large,46-55
2026,Australia,Retail,GitHub Copilot,82.44,58711,Large,56+
2025,USA,IT,Gemini,6.54,12302,Small,46-55
2024,USA,Healthcare,Gemini,31.34,63468,Large,56+
2024,UK,Manufacturing,ChatGPT,43.16,85758,Large,36-45
2026,India,IT,Gemini,50.95,33235,Medium,56+
2026,Australia,Finance,GitHub Copilot,21.34,88221,Small,18-25
2025,Canada,IT,ChatGPT,91.78,63635,Small,36-45
2026,Australia,Education,Perplexity,57.1,14997,Medium,46-55
2025,UK,IT,ChatGPT,51.99,21391,Medium,46-55
2024,Germany,Manufacturing,ChatGPT,5.79,98462,Small,36-45
2024,Germany,Healthcare,Perplexity,48.71,53508,Small,18-25
2023,UK,IT,GitHub Copilot,80.39,73930,Small,36-45
2024,Canada,Finance,Claude,24.77,54193,Medium,26-35
2026,UK,Retail,Claude,36.61,4607,Medium,18-25
2024,Canada,IT,Perplexity,6.85,28954,Large,36-45
2025,USA,IT,GitHub Copilot,92.92,15575,Medium,26-35
2024,UK,Education,Gemini,11.0,45005,Large,56+
2023,Canada,Finance,Perplexity,85.84,79970,Large,18-25
2024,UK,Manufacturing,Claude,33.17,84466,Medium,56+
2025,UK,Retail,GitHub Copilot,57.88,92914,Medium,26-35
2025,Canada,Healthcare,ChatGPT,66.14,84385,Medium,46-55
2026,Canada,IT,GitHub Copilot,17.67,96147,Medium,46-55
2024,India,Manufacturing,GitHub Copilot,44.94,40285,Small,46-55
2025,UK,Retail,Claude,34.29,64498,Medium,56+
2023,Germany,Healthcare,Claude,10.09,90708,Large,18-25
2026,UK,Manufacturing,Gemini,79.99,96782,Large,56+
2023,UK,Finance,Gemini,9.07,76693,Small,56+
2024,Canada,Finance,Perplexity,63.79,26527,Small,46-55
2024,UK,Retail,ChatGPT,33.27,55635,Medium,56+
2024,Australia,Healthcare,Gemini,22.29,76672,Small,26-35
2026,UK,Finance,Claude,65.04,63790,Medium,36-45
2025,Australia,Retail,GitHub Copilot,56.71,14160,Medium,36-45
2026,Germany,Finance,Perplexity,33.37,50741,Small,36-45
2023,Canada,Finance,Gemini,51.17,13707,Small,46-55
2026,UK,Manufacturing,GitHub Copilot,27.16,63660,Large,46-55
2023,Australia,Manufacturing,GitHub Copilot,82.73,64313,Small,36-45
2026,Australia,Finance,Gemini,33.24,89710,Small,18-25
2025,Australia,Education,ChatGPT,27.06,61876,Small,36-45
2023,USA,Manufacturing,ChatGPT,72.67,48964,Large,56+
2024,India,Healthcare,Perplexity,6.58,85409,Medium,36-45
2024,Germany,Retail,ChatGPT,29.12,33070,Large,36-45
2026,UK,Retail,Perplexity,38.79,98634,Small,18-25
2024,USA,Healthcare,Claude,84.4,28310,Small,46-55
2023,UK,Healthcare,Gemini,90.54,44188,Small,46-55
2024,UK,Healthcare,GitHub Copilot,69.48,60135,Medium,56+
2025,Canada,Healthcare,Perplexity,49.33,11783,Large,36-45
2025,Canada,IT,ChatGPT,62.66,3062,Large,26-35
2026,Canada,Retail,Perplexity,42.26,62348,Medium,56+
2023,USA,IT,Perplexity,31.89,95636,Large,46-55
2025,UK,Finance,ChatGPT,90.56,94773,Medium,18-25
2025,India,Finance,ChatGPT,15.39,35652,Medium,46-55
2023,Germany,Retail,Gemini,36.18,99207,Large,46-55
2024,Canada,Finance,GitHub Copilot,85.92,45421,Large,18-25
2024,Canada,Healthcare,Gemini,70.08,47450,Medium,36-45
2026,UK,IT,Gemini,7.62,63665,Large,36-45
2024,UK,Healthcare,ChatGPT,7.08,43961,Medium,46-55
2023,USA,Finance,ChatGPT,51.49,39264,Large,56+
2025,USA,Manufacturing,GitHub Copilot,48.58,82195,Large,26-35
2024,Canada,IT,Perplexity,44.87,45063,Large,56+
2026,UK,Healthcare,Gemini,32.21,71327,Large,56+
2024,India,Retail,GitHub Copilot,93.8,3632,Large,46-55
2023,Germany,Healthcare,Gemini,29.48,20833,Small,46-55
2026,UK,Manufacturing,Perplexity,49.1,83563,Small,26-35
2024,UK,Finance,Gemini,41.44,43214,Large,26-35
2026,Australia,IT,Claude,20.32,79118,Large,26-35
2023,USA,Retail,GitHub Copilot,23.24,92317,Large,46-55
2025,Germany,IT,ChatGPT,87.65,5556,Medium,46-55
2023,Canada,Retail,Gemini,82.25,3513,Small,56+
2023,UK,IT,GitHub Copilot,22.91,7185,Medium,46-55
2023,Canada,Finance,GitHub Copilot,83.81,28037,Small,36-45
2023,UK,Retail,Gemini,23.83,20663,Small,36-45
2025,Canada,Education,ChatGPT,61.39,74968,Large,26-35
2025,Germany,IT,ChatGPT,12.32,37675,Large,46-55
2026,USA,IT,Gemini,84.23,7486,Medium,36-45
2024,Germany,Healthcare,GitHub Copilot,9.64,91973,Medium,56+
2025,Australia,Retail,ChatGPT,54.94,59250,Large,18-25
2025,India,Manufacturing,Gemini,75.17,29672,Large,56+
2024,USA,Education,Gemini,15.52,99060,Small,18-25
2025,Germany,Finance,Gemini,41.4,35371,Small,56+
2023,Australia,Healthcare,GitHub Copilot,8.78,49910,Large,36-45
2023,India,Education,ChatGPT,66.45,64360,Small,46-55
2024,Australia,Retail,GitHub Copilot,32.67,76666,Medium,18-25
2026,UK,Education,Claude,55.35,13238,Small,46-55
2026,UK,IT,ChatGPT,88.95,47469,Large,46-55
2024,Canada,IT,GitHub Copilot,32.53,15746,Small,36-45
2024,USA,Healthcare,ChatGPT,9.38,28912,Large,26-35
2023,UK,Retail,Claude,65.81,89058,Small,26-35
2026,Australia,Retail,Perplexity,75.82,76281,Medium,18-25
2025,USA,Education,Gemini,91.21,14728,Medium,36-45
2023,UK,Healthcare,GitHub Copilot,19.2,24586,Large,46-55
2024,Canada,Retail,Claude,40.29,88045,Large,56+
2026,Germany,Manufacturing,Claude,80.97,39366,Large,56+
2025,Canada,Manufacturing,ChatGPT,77.62,88368,Small,18-25
2025,India,IT,ChatGPT,61.23,46657,Small,18-25
2023,UK,Education,Gemini,29.24,85061,Small,18-25
2026,India,Finance,ChatGPT,30.56,77831,Medium,36-45
2026,India,IT,GitHub Copilot,16.16,84358,Large,56+
2024,Australia,Healthcare,GitHub Copilot,87.97,16594,Small,36-45
2026,USA,Retail,GitHub Copilot,20.56,21671,Medium,36-45
2026,Australia,IT,Perplexity,56.56,34586,Large,46-55
2023,UK,Finance,GitHub Copilot,57.59,88536,Medium,36-45
2026,India,Finance,ChatGPT,38.26,61735,Large,36-45
2025,Germany,Manufacturing,ChatGPT,36.73,225,Small,46-55
2023,India,Healthcare,GitHub Copilot,65.17,48914,Medium,26-35
2023,Germany,IT,Claude,39.95,19418,Medium,46-55
2024,Australia,Education,Claude,27.96,62463,Medium,18-25
2026,Australia,IT,Claude,40.92,43262,Large,26-35
2024,USA,Manufacturing,Gemini,77.69,7690,Large,56+
2025,India,Finance,Perplexity,91.98,34950,Medium,36-45
2023,Canada,Healthcare,GitHub Copilot,62.24,12234,Large,26-35
2023,Australia,Healthcare,Gemini,75.39,25330,Medium,56+
2023,Australia,Education,Claude,52.95,15158,Small,46-55
2025,USA,Healthcare,GitHub Copilot,61.23,79937,Medium,46-55
2025,Germany,Manufacturing,Gemini,93.93,27139,Medium,18-25
2024,USA,Manufacturing,ChatGPT,44.46,65920,Large,18-25
2024,India,Manufacturing,Claude,10.96,38434,Large,26-35
2024,UK,Healthcare,Gemini,91.13,43625,Large,36-45
2026,UK,Healthcare,ChatGPT,76.38,84294,Small,46-55
2023,Germany,Manufacturing,Claude,40.85,28543,Small,26-35
2023,Australia,Healthcare,Perplexity,93.42,4072,Small,26-35
2024,Germany,Healthcare,Claude,36.1,65036,Large,26-35
2023,Australia,Finance,Perplexity,38.49,91803,Medium,18-25
2024,Australia,IT,Perplexity,59.88,79315,Medium,46-55
2026,UK,Retail,Perplexity,29.69,29619,Medium,18-25
2026,Germany,Healthcare,GitHub Copilot,67.87,91340,Large,18-25
2025,USA,Retail,GitHub Copilot,18.76,97584,Large,26-35
2026,Australia,Retail,Perplexity,14.72,80014,Small,56+
2024,Canada,Finance,ChatGPT,53.14,75964,Large,56+
2026,Canada,Healthcare,Perplexity,54.99,55981,Medium,56+
2025,USA,Manufacturing,Gemini,14.6,24832,Small,26-35
2023,Canada,Retail,Perplexity,91.78,17773,Small,36-45
2024,India,Healthcare,GitHub Copilot,56.6,76009,Large,46-55
2023,Australia,Education,GitHub Copilot,18.59,5820,Small,26-35
2025,USA,Manufacturing,Gemini,33.03,59215,Small,26-35
2025,Germany,Education,Gemini,77.02,52040,Large,18-25
2025,Australia,Education,Claude,52.09,5253,Small,56+
2023,USA,Retail,ChatGPT,21.93,71862,Medium,26-35
2023,UK,Education,ChatGPT,14.26,68612,Large,36-45
2023,Germany,Finance,ChatGPT,43.77,38119,Medium,46-55
2023,UK,Finance,GitHub Copilot,35.37,84933,Medium,36-45
2025,Australia,Retail,ChatGPT,64.03,16687,Medium,26-35
2025,Germany,Healthcare,Claude,88.27,18306,Medium,26-35
2024,Canada,IT,Claude,27.3,91571,Small,18-25
2024,USA,Healthcare,ChatGPT,81.97,95269,Small,36-45
2023,Australia,Healthcare,Gemini,87.84,10836,Large,18-25
2026,India,Healthcare,Claude,86.18,7071,Large,36-45
2026,Germany,Healthcare,Gemini,90.69,56677,Medium,56+
2025,Germany,Manufacturing,GitHub Copilot,80.79,75143,Medium,56+
2025,Australia,IT,Claude,58.41,25824,Large,36-45
2025,Australia,Manufacturing,Gemini,41.89,87802,Large,18-25
2024,UK,Education,ChatGPT,49.25,78794,Large,56+
2024,Canada,Healthcare,GitHub Copilot,83.54,91410,Large,26-35
2025,UK,Finance,Perplexity,32.13,55255,Medium,46-55
2025,UK,Retail,Perplexity,19.33,11208,Large,18-25
2025,Canada,Retail,ChatGPT,17.67,77713,Small,36-45
2026,India,Manufacturing,GitHub Copilot,79.43,69811,Medium,46-55
2024,UK,Manufacturing,GitHub Copilot,73.53,57038,Small,46-55
2026,UK,Finance,GitHub Copilot,49.79,68598,Large,26-35
2026,Germany,Healthcare,GitHub Copilot,29.74,79252,Small,18-25
2025,Canada,IT,Perplexity,65.99,97889,Large,46-55
2025,USA,Education,Gemini,8.46,17851,Small,18-25
2023,India,Retail,GitHub Copilot,56.14,70846,Medium,26-35
2023,India,Education,Gemini,40.86,32490,Small,36-45
2026,Canada,IT,GitHub Copilot,93.01,16093,Medium,46-55
2024,Australia,Manufacturing,Claude,50.68,60503,Small,46-55
2025,Australia,Retail,Claude,54.7,26959,Small,46-55
2025,Germany,Education,Claude,69.11,20978,Medium,18-25
2026,Germany,Manufacturing,GitHub Copilot,48.61,80559,Medium,46-55
2023,Canada,IT,Gemini,25.21,99224,Large,18-25
2024,Germany,Education,Perplexity,53.36,27200,Medium,56+
2023,India,Healthcare,ChatGPT,89.98,89722,Medium,56+
2023,India,Manufacturing,Perplexity,41.89,62384,Large,18-25
2023,USA,IT,GitHub Copilot,66.17,60076,Medium,56+
2023,Australia,Education,Claude,93.02,40123,Medium,26-35
2025,Canada,Healthcare,Claude,79.69,47809,Small,26-35
2025,UK,Healthcare,Gemini,64.31,98207,Large,56+
2023,Australia,IT,GitHub Copilot,71.24,76653,Large,36-45
2024,UK,Finance,Perplexity,89.28,54624,Small,18-25
2026,USA,Retail,GitHub Copilot,91.38,85149,Large,56+
2024,USA,IT,GitHub Copilot,92.21,45074,Small,18-25
2024,Germany,Healthcare,Claude,61.31,46578,Medium,56+
2024,USA,Healthcare,Perplexity,39.62,53868,Large,26-35
2023,USA,IT,ChatGPT,16.98,80496,Medium,36-45
2025,UK,Finance,Claude,39.7,73722,Large,18-25
2024,Germany,Retail,Perplexity,89.87,48644,Medium,36-45
2023,USA,Education,Gemini,85.08,18150,Large,26-35
2024,Australia,IT,Claude,52.13,19884,Large,46-55
2024,USA,Retail,Gemini,53.33,11874,Medium,46-55
2023,Germany,Retail,Claude,32.8,35068,Small,18-25
2025,Canada,Manufacturing,GitHub Copilot,45.91,58336,Large,26-35
2025,Germany,Healthcare,Perplexity,69.3,77778,Small,18-25
2026,UK,Education,Gemini,41.22,50235,Small,18-25
2023,Canada,IT,Claude,21.92,23107,Small,18-25
2026,Australia,Healthcare,Gemini,53.68,25258,Small,36-45
2026,India,Manufacturing,Claude,25.28,71687,Small,56+
2026,Germany,Manufacturing,Claude,92.69,97212,Small,26-35
2025,UK,Healthcare,ChatGPT,40.13,4215,Large,36-45
2023,Australia,Finance,ChatGPT,86.87,84660,Small,56+
2026,Canada,Retail,ChatGPT,25.3,59417,Large,18-25
2023,Australia,IT,Gemini,22.03,6471,Large,46-55
2023,Germany,IT,GitHub Copilot,60.52,94326,Large,36-45
2025,USA,IT,Claude,75.14,39455,Medium,26-35
2026,Germany,Healthcare,Perplexity,56.01,98056,Small,26-35
2026,India,Finance,ChatGPT,25.68,43475,Medium,56+
2023,Germany,Education,Gemini,8.41,74716,Small,36-45
2024,Canada,Manufacturing,Gemini,60.65,67519,Medium,18-25
2025,Canada,Healthcare,Gemini,16.79,70457,Large,56+
2025,Germany,Education,Perplexity,35.89,8438,Medium,26-35
2025,Canada,Manufacturing,Perplexity,65.82,22107,Large,36-45
2025,USA,Manufacturing,ChatGPT,13.82,2577,Medium,46-55
2026,Australia,Finance,Perplexity,16.45,78771,Small,18-25
2026,Germany,Retail,ChatGPT,10.55,42523,Small,26-35
2024,USA,IT,Perplexity,94.65,76073,Medium,36-45
2025,Australia,Education,Perplexity,39.84,48200,Medium,46-55
2025,Australia,Healthcare,Perplexity,86.52,75138,Small,26-35
2023,USA,Education,ChatGPT,31.42,29336,Medium,46-55
2026,UK,Retail,Claude,72.79,468,Medium,26-35
2025,Germany,IT,ChatGPT,24.72,25939,Small,56+
2024,Australia,Education,Claude,49.85,73198,Large,56+
2024,Australia,Retail,Gemini,79.22,7239,Small,56+
2026,Canada,Healthcare,Gemini,78.47,27241,Small,36-45
2024,Australia,Finance,ChatGPT,76.49,64362,Medium,56+
2024,USA,Manufacturing,Claude,79.14,6804,Small,36-45
2026,Australia,Healthcare,Claude,24.03,1987,Small,18-25
2025,UK,IT,Claude,48.4,12075,Medium,56+
2025,Germany,Manufacturing,Gemini,48.64,644,Medium,36-45
2024,Germany,Healthcare,ChatGPT,85.15,85084,Large,26-35
2024,Australia,Healthcare,GitHub Copilot,31.72,88466,Small,36-45
2025,India,Healthcare,Claude,88.83,46423,Large,36-45
2026,India,Healthcare,Claude,45.57,50482,Large,26-35
2024,USA,Manufacturing,GitHub Copilot,65.28,24026,Large,36-45
2023,India,IT,ChatGPT,29.2,96638,Large,26-35
2026,USA,Retail,Claude,41.93,13433,Small,46-55
2024,Canada,Education,ChatGPT,68.88,17042,Small,56+
2024,USA,Finance,Claude,51.15,80320,Small,18-25
2023,India,Education,Perplexity,88.76,91724,Large,36-45
2023,Australia,Education,Claude,71.34,22547,Medium,26-35
2025,Canada,Finance,Perplexity,55.8,74497,Small,56+
2026,India,Manufacturing,ChatGPT,84.8,24933,Large,36-45
2026,USA,IT,Claude,64.9,83090,Large,56+
2025,UK,Finance,Gemini,63.26,66686,Large,46-55
2026,Germany,IT,Gemini,27.17,86058,Large,36-45
2026,India,Manufacturing,GitHub Copilot,40.54,21630,Large,26-35
2026,USA,Education,Gemini,66.5,47160,Large,46-55
2026,Canada,IT,Perplexity,85.26,81392,Small,36-45
2026,India,Manufacturing,Gemini,33.4,69658,Medium,56+
2023,India,Manufacturing,Gemini,24.39,41204,Small,46-55
2026,Germany,Retail,Gemini,58.43,2734,Small,26-35
2023,USA,Finance,Claude,11.05,65310,Large,36-45
2026,UK,Retail,GitHub Copilot,69.31,92781,Small,56+
2025,Canada,Education,ChatGPT,68.28,7388,Medium,56+
2024,USA,Finance,GitHub Copilot,36.95,74628,Medium,46-55
2023,Canada,Education,Perplexity,85.34,34353,Large,36-45
2026,India,Retail,Claude,50.2,27105,Medium,56+
2025,Germany,Manufacturing,Claude,63.12,49924,Large,46-55
2024,Germany,Education,Gemini,23.86,77802,Medium,18-25
2023,Australia,Finance,Gemini,42.56,93701,Medium,56+
2024,UK,Finance,Perplexity,82.62,53674,Small,46-55
2025,Germany,Education,Claude,24.16,17898,Medium,18-25
2023,India,Finance,ChatGPT,40.15,60812,Large,46-55
2024,UK,Manufacturing,GitHub Copilot,33.63,29401,Medium,56+
2026,USA,Manufacturing,Claude,18.6,55367,Medium,18-25
2023,Germany,Finance,ChatGPT,31.07,3994,Small,46-55
2024,UK,Education,ChatGPT,25.95,3946,Large,36-45
2025,India,Retail,GitHub Copilot,88.12,63671,Large,18-25
2025,Australia,Finance,ChatGPT,71.7,14581,Large,46-55
2023,Canada,Finance,Perplexity,33.45,42254,Small,36-45
2024,Canada,Finance,ChatGPT,73.7,51276,Medium,18-25
2023,India,Finance,Perplexity,6.99,56728,Large,46-55
2023,India,Education,ChatGPT,52.39,95857,Medium,56+
2024,Canada,Retail,Gemini,27.53,8148,Medium,18-25
2024,Australia,Retail,ChatGPT,15.29,27486,Medium,18-25
2026,UK,IT,Perplexity,84.54,33436,Small,36-45
2024,Canada,Finance,ChatGPT,22.94,23953,Medium,46-55
